n_estimators,random_state,bootstrap,n_jobs,max_samples,max_features,auc_pr_test,auc_roc_test,auc_pr_valid,auc_roc_valid,seed,job_name
16.0,0.0,0.0,-1.0,0.4,0.6,0.98694644672085,0.9975466458355376,0.989244125028963,0.9982930206719514,0.0,16
16.0,0.0,0.0,-1.0,1.0,0.4,0.9569947431725816,0.9934616100918912,0.9517302413566324,0.9947448307563198,0.0,12
16.0,0.0,0.0,-1.0,0.6,0.4,0.7831650910369647,0.9615005120593147,0.8433215758693958,0.9741665512864224,0.0,4
16.0,0.0,0.0,-1.0,0.8,0.4,0.9561637608837183,0.9935862189999816,0.9861375555420522,0.9977706948662036,0.0,8
32.0,0.0,0.0,-1.0,0.6,0.4,0.9014528394686224,0.9852901748683418,0.9410768960859528,0.9928521504027964,0.0,5
32.0,0.0,0.0,-1.0,1.0,0.4,0.9673587553125368,0.9955413202107344,0.97377970910841,0.9974986478449804,0.0,13
32.0,0.0,0.0,-1.0,0.4,0.4,0.9537204986966236,0.994729393681926,0.977638107775497,0.9975609297789572,0.0,1
16.0,0.0,0.0,-1.0,0.4,0.4,0.9020331964567332,0.9882277768672612,0.9483107771423236,0.9921667213591872,0.0,0
32.0,0.0,0.0,-1.0,0.8,0.4,0.9742857880111208,0.9955447391334398,0.9917665035390806,0.9986098211596748,0.0,9
64.0,0.0,0.0,-1.0,1.0,0.4,0.9922815029177036,0.9985532042641184,0.9920970254415472,0.9988041235854588,0.0,14
16.0,0.0,0.0,-1.0,0.8,0.8,0.989911224737458,0.9983378177121623,0.9878208050696552,0.998802091143806,0.0,40
64.0,0.0,0.0,-1.0,0.6,0.4,0.9829646665793828,0.9968212444572616,0.9879135895801724,0.9983544477972792,0.0,6
64.0,0.0,0.0,-1.0,0.4,0.6,0.9927861871652396,0.9985753396212728,0.9945809652884728,0.9990635651237186,0.0,18
32.0,0.0,0.0,-1.0,0.4,0.6,0.9895716342828114,0.9977015297942566,0.993625267387228,0.9990577476966822,0.0,17
64.0,0.0,0.0,-1.0,0.8,0.4,0.9922899646854224,0.9984785341756994,0.995386183499342,0.9992375595126336,0.0,10
16.0,0.0,0.0,-1.0,1.0,0.6,0.9828049674318516,0.997309503829303,0.9708148278132512,0.9969550325673632,0.0,28
16.0,0.0,0.0,-1.0,0.8,0.6,0.9927474360441706,0.998649492936186,0.9804266982781392,0.9972216780988904,0.0,24
32.0,0.0,0.0,-1.0,0.6,0.6,0.9854605005683026,0.9973488359193022,0.9852481284985676,0.9983211838032048,0.0,21
64.0,0.0,0.0,-1.0,0.8,0.6,0.9941370459459528,0.9988502374837572,0.9911238556538484,0.9986764342063472,0.0,26
64.0,0.0,0.0,-1.0,0.4,0.4,0.9862780748941036,0.9978879886674522,0.991293220253636,0.9988433546787734,0.0,2
64.0,0.0,0.0,-1.0,1.0,0.6,0.994249997462453,0.9988778915842396,0.9910422316762152,0.9987871068634429,0.0,30
128.0,0.0,0.0,-1.0,0.4,0.4,0.9940474768429508,0.9989925837906288,0.9846701631776572,0.9981766482410208,0.0,3
32.0,0.0,0.0,-1.0,0.8,0.8,0.9955331564644558,0.9990733907522078,0.9969991815359528,0.9994294823177308,0.0,41
16.0,0.0,0.0,-1.0,0.6,0.6,0.9712366189134404,0.9947800788770548,0.969594399959378,0.9964826542425476,0.0,20
