kernel,shrinking,cache_size,max_iter,gamma,nu,tol,auc_pr_test_test,auc_roc_test_test,auc_pr_valid_valid,auc_roc_valid_valid,seed,job_name
rbf,1.0,500.0,-1.0,100.0,0.4,0.001,0.3875723336652979,0.8376210638537921,0.3860699485542177,0.8323179174860605,0.0,cidds-oc-5
rbf,1.0,500.0,-1.0,10.0,0.2,0.001,0.9382607084386296,0.9930746444393544,0.9223462195888076,0.9909706233774168,0.0,cidds-oc-8
rbf,1.0,500.0,-1.0,1000.0,0.4,0.001,0.3875723340628479,0.8376210649810527,0.3860699490007672,0.8323179187923045,0.0,cidds-oc-1
rbf,1.0,500.0,-1.0,100.0,0.2,0.001,0.3875762696077766,0.8376155975214005,0.3860834502030337,0.8323458305999349,0.0,cidds-oc-4
rbf,1.0,500.0,-1.0,1000.0,0.2,0.001,0.3875762696613878,0.8376156023925823,0.3860834503222142,0.832345836305284,0.0,cidds-oc-0
rbf,1.0,500.0,-1.0,1000.0,0.6,0.001,0.3875924655905473,0.8376566926923381,0.3860914943388909,0.8323662024641867,0.0,cidds-oc-2
rbf,1.0,500.0,-1.0,0.001,0.2,0.001,0.938245156388108,0.9819163285451048,0.9155396763352992,0.986005824161631,0.0,cidds-oc-24
rbf,1.0,500.0,-1.0,100.0,0.6,0.001,0.3875924655905473,0.8376566926923381,0.3860914943388909,0.8323662024641867,0.0,cidds-oc-6
rbf,1.0,500.0,-1.0,100.0,0.8,0.001,0.3875924655905473,0.8376566926923381,0.3860914943388909,0.8323662024641867,0.0,cidds-oc-7
rbf,1.0,500.0,-1.0,10.0,0.4,0.001,0.9382769892301536,0.9931008286370632,0.9223735267799776,0.9909954021429384,0.0,cidds-oc-9
rbf,1.0,500.0,-1.0,1000.0,0.8,0.001,0.3875924655905473,0.8376566926923381,0.3860914943388909,0.8323662024641867,0.0,cidds-oc-3
rbf,1.0,500.0,-1.0,0.1,0.6,0.001,0.9310677271881496,0.9912196625723776,0.8892152008545404,0.9881823447755042,0.0,cidds-oc-18
rbf,1.0,500.0,-1.0,0.01,0.4,0.001,0.93434986364034,0.986055304504522,0.9048543362832916,0.9866912435769404,0.0,cidds-oc-21
rbf,1.0,500.0,-1.0,1.0,0.8,0.001,0.9939772453775724,0.9992825967404212,0.984948853977734,0.9983194706127376,0.0,cidds-oc-15
rbf,1.0,500.0,-1.0,0.001,0.6,0.001,0.8876125966391678,0.9793219836853354,0.8564369893850584,0.9813164716487556,0.0,cidds-oc-26
rbf,1.0,500.0,-1.0,0.1,0.4,0.001,0.9336848421646438,0.9928129406615488,0.8776619216117976,0.9883338143844932,0.0,cidds-oc-17
rbf,1.0,500.0,-1.0,0.001,0.8,0.001,0.856595753904591,0.9647900978046308,0.8517405161122933,0.9740698289570108,0.0,cidds-oc-27
rbf,1.0,500.0,-1.0,1.0,0.4,0.001,0.9943318363713968,0.9993344583728232,0.9856586708841306,0.9985074309740772,0.0,cidds-oc-13
rbf,1.0,500.0,-1.0,0.01,0.2,0.001,0.94186409144165,0.983635417715044,0.9168832740457472,0.986692028322118,0.0,cidds-oc-20
rbf,1.0,500.0,-1.0,10.0,0.8,0.001,0.9327684609277372,0.9924778991193276,0.916927974673688,0.990356023988336,0.0,cidds-oc-11
rbf,1.0,500.0,-1.0,0.1,0.2,0.001,0.9660264100433236,0.9945107852022248,0.9236471275161936,0.9913910031078816,0.0,cidds-oc-16
rbf,1.0,500.0,-1.0,0.01,0.8,0.001,0.859276380505551,0.9661976171305546,0.8529691000388986,0.9754203146702348,0.0,cidds-oc-23
rbf,1.0,500.0,-1.0,0.01,0.6,0.001,0.8901389165501247,0.980598346388656,0.8578887529677413,0.9818708492952488,0.0,cidds-oc-22
rbf,1.0,500.0,-1.0,0.001,0.4,0.001,0.9359738038490912,0.9849012240049644,0.9093700410681004,0.986500629476778,0.0,cidds-oc-25
rbf,1.0,500.0,-1.0,10.0,0.6,0.001,0.9340731793325394,0.9926282900065996,0.9179844331364913,0.9904883025897588,0.0,cidds-oc-10
rbf,1.0,500.0,-1.0,0.1,0.8,0.001,0.9010463789650036,0.9802816319893676,0.8761206067778957,0.9828531498223588,0.0,cidds-oc-19
rbf,1.0,500.0,-1.0,1.0,0.2,0.001,0.9956634150180717,0.9994139644788922,0.9881627242714952,0.9986024924068984,0.0,cidds-oc-12
rbf,1.0,500.0,-1.0,1.0,0.6,0.001,0.9937958209300825,0.9993259684558052,0.9847995974682408,0.9983288224177126,0.0,cidds-oc-14
